ATAC name,RNA name
chr10:93441846-93442738,MYOF
chr10:93441846-93442738,chr10:93441846-93442738
chr8:25230793-25231255,DOCK5
chr8:25230793-25231255,chr8:25230793-25231255
chr13:76687516-76687764,AL136441.1
chr13:76687516-76687764,AL161717.1
chr13:76687516-76687764,chr13:76687516-76687764
chr18:63245501-63246078,BCL2
chr18:63245501-63246078,chr18:63245501-63246078
chr17:21130876-21131779,DHRS7B
chr17:21130876-21131779,chr17:21130876-21131779
chr3:134794838-134795765,EPHB1
chr3:134794838-134795765,chr3:134794838-134795765
chr6:139334682-139335507,AL592429.2
chr6:139334682-139335507,chr6:139334682-139335507
chr1:85308066-85308587,AL078459.1
chr1:85308066-85308587,chr1:85308066-85308587
chr4:108127030-108127079,LEF1
chr4:108127030-108127079,chr4:108127030-108127079
chr11:10285027-10286150,SBF2
chr11:10285027-10286150,chr11:10285027-10286150
chr19:7868228-7875289,PRR36
chr19:7868228-7875289,chr19:7868228-7875289
chr2:151840165-151841217,CACNB4
chr2:151840165-151841217,chr2:151840165-151841217
chr1:207499269-207499977,CR1
chr1:207499269-207499977,chr1:207499269-207499977
chr19:54873670-54876135,FCAR
chr19:54873670-54876135,chr19:54873670-54876135
FOSB,chr19:45462041-45481856
FOSB,FOSB
AC002454.1,chr7:92831942-92837624
AC002454.1,chr7:92864164-92864390
AC002454.1,chr7:92904201-92904766
AC002454.1,AC002454.1
chr8:80170616-80172088,TPD52
chr8:80170616-80172088,chr8:80170616-80172088
chr1:89063905-89066010,GBP1
chr1:89063905-89066010,chr1:89063905-89066010
chr17:4784448-4787853,VMO1
chr17:4784448-4787853,chr17:4784448-4787853
chr7:101124469-101125198,SERPINE1
chr7:101124469-101125198,chr7:101124469-101125198
chr14:73426929-73427401,NUMB
chr14:73426929-73427401,chr14:73426929-73427401
DGKH,chr13:42039217-42042177
DGKH,chr13:42047387-42049823
DGKH,chr13:42068912-42069266
DGKH,chr13:42071728-42072179
DGKH,chr13:42110462-42111016
DGKH,DGKH
chr1:115981342-115981796,SLC22A15
chr1:115981342-115981796,chr1:115981342-115981796
chr12:7937968-7938466,SLC2A3
chr12:7937968-7938466,chr12:7937968-7938466
AFF3,chr2:99555313-99555875
AFF3,chr2:99559028-99559551
AFF3,chr2:99661008-99661146
AFF3,chr2:99725992-99726189
AFF3,chr2:99734293-99734524
AFF3,chr2:99755883-99756601
AFF3,chr2:99767711-99768236
AFF3,chr2:99770305-99770739
AFF3,chr2:99771469-99773328
AFF3,chr2:99780233-99780644
AFF3,chr2:99785022-99786099
AFF3,chr2:99787759-99788397
AFF3,chr2:99802743-99803144
AFF3,chr2:99812366-99812874
AFF3,chr2:99827130-99827998
AFF3,chr2:99861375-99861817
AFF3,chr2:99862534-99862954
AFF3,chr2:99864787-99865186
AFF3,chr2:99867655-99868073
AFF3,chr2:99877884-99878387
AFF3,chr2:99898374-99898729
AFF3,chr2:99928400-99928931
AFF3,chr2:99956857-99956965
AFF3,chr2:100008900-100009985
AFF3,chr2:100039499-100039996
AFF3,chr2:100042528-100042986
AFF3,chr2:100060839-100061273
AFF3,chr2:100062367-100062676
AFF3,chr2:100071386-100071749
AFF3,chr2:100104285-100105622
AFF3,chr2:100110419-100111196
AFF3,chr2:100113674-100114635
AFF3,chr2:100140489-100141040
AFF3,chr2:100142018-100143171
AFF3,chr2:100178005-100178549
AFF3,chr2:100184252-100185131
AFF3,AFF3
chr1:42034396-42036733,HIVEP3
chr1:42034396-42036733,chr1:42034396-42036733
chr4:81561622-81562864,RASGEF1B
chr4:81561622-81562864,chr4:81561622-81562864
chr7:106247094-106249884,NAMPT
chr7:106247094-106249884,chr7:106247094-106249884
chr5:159469444-159469962,AC008691.1
chr5:159469444-159469962,chr5:159469444-159469962
chr11:66840205-66840457,C11orf80
chr11:66840205-66840457,chr11:66840205-66840457
chr2:8281911-8283411,LINC00299
chr2:8281911-8283411,chr2:8281911-8283411
chr7:80538353-80538679,CD36
chr7:80538353-80538679,chr7:80538353-80538679
SOX4,chr6:21593026-21597372
SOX4,chr6:21597934-21598252
SOX4,SOX4
chr1:86061606-86062070,COL24A1
chr1:86061606-86062070,chr1:86061606-86062070
chr15:28975614-28976118,APBA2
chr15:28975614-28976118,chr15:28975614-28976118
chr3:69541766-69542929,FRMD4B
chr3:69541766-69542929,chr3:69541766-69542929
chr1:24748136-24749623,CLIC4
chr1:24748136-24749623,chr1:24748136-24749623
chr3:32340062-32340510,CMTM8
chr3:32340062-32340510,chr3:32340062-32340510
chrX:46686020-46686443,SLC9A7
chrX:46686020-46686443,chrX:46686020-46686443
chr8:55978101-55979103,LYN
chr8:55978101-55979103,chr8:55978101-55979103
AIM2,chr1:159067536-159069327
AIM2,chr1:159071919-159072420
AIM2,chr1:159076254-159078152
AIM2,chr1:159084234-159085393
AIM2,chr1:159087974-159089590
AIM2,chr1:159090855-159092750
AIM2,chr1:159103095-159103436
AIM2,chr1:159132275-159132684
AIM2,AIM2
chr12:40314020-40314284,LRRK2
chr12:40314020-40314284,chr12:40314020-40314284
chr22:32200762-32201143,RFPL2
chr22:32200762-32201143,chr22:32200762-32201143
chr3:122678105-122683597,PARP14
chr3:122678105-122683597,chr3:122678105-122683597
chr5:137563471-137564695,SPOCK1
chr5:137563471-137564695,chr5:137563471-137564695
chr10:48612715-48612756,ARHGAP22
chr10:48612715-48612756,chr10:48612715-48612756
chr9:120692527-120694724,MEGF9
chr9:120692527-120694724,chr9:120692527-120694724
chr4:1176873-1177998,SPON2
chr4:1176873-1177998,chr4:1176873-1177998
chr6:156197475-156197961,AL589693.1
chr6:156197475-156197961,chr6:156197475-156197961
chr10:103583797-103585689,NEURL1
chr10:103583797-103585689,chr10:103583797-103585689
chrX:103789028-103789410,PLP1
chrX:103789028-103789410,chrX:103789028-103789410
chr3:58041183-58042160,FLNB
chr3:58041183-58042160,chr3:58041183-58042160
STON2,chr14:81269363-81269821
STON2,chr14:81296404-81296946
STON2,chr14:81303191-81304003
STON2,chr14:81400115-81402387
STON2,chr14:81415849-81417350
STON2,chr14:81422550-81422822
STON2,chr14:81423390-81423868
STON2,chr14:81427338-81427664
STON2,chr14:81435365-81436987
STON2,STON2
chr18:63210490-63210993,BCL2
chr18:63210490-63210993,chr18:63210490-63210993
chr2:11944386-11946097,MIR3681HG
chr2:11944386-11946097,chr2:11944386-11946097
chr6:158991515-158991617,RSPH3
chr6:158991515-158991617,chr6:158991515-158991617
chr8:25242704-25244534,DOCK5
chr8:25242704-25244534,chr8:25242704-25244534
chr1:66281820-66283072,PDE4B
chr1:66281820-66283072,chr1:66281820-66283072
chr11:14688293-14688513,PDE3B
chr11:14688293-14688513,chr11:14688293-14688513
chr11:114065160-114066911,ZBTB16
chr11:114065160-114066911,chr11:114065160-114066911
chr14:88297308-88297741,KCNK10
chr14:88297308-88297741,chr14:88297308-88297741
chr8:118548752-118549230,SAMD12
chr8:118548752-118549230,chr8:118548752-118549230
chr13:33263065-33263227,STARD13
chr13:33263065-33263227,chr13:33263065-33263227
chr11:34233860-34234726,ABTB2
chr11:34233860-34234726,chr11:34233860-34234726
SOX5,chr12:23536333-23536668
SOX5,chr12:24378758-24379331
SOX5,chr12:24414616-24414726
SOX5,chr12:24416491-24416677
SOX5,chr12:24561639-24563915
SOX5,SOX5
chr20:63819251-63820110,ZBTB46
chr20:63819251-63820110,chr20:63819251-63820110
chr5:107387782-107390287,EFNA5
chr5:107387782-107390287,chr5:107387782-107390287
chr13:42405730-42406844,LINC02341
chr13:42405730-42406844,chr13:42405730-42406844
chr3:172521825-172524253,TNFSF10
chr3:172521825-172524253,chr3:172521825-172524253
PDIA4,chr7:149005414-149006689
PDIA4,chr7:149025295-149029609
PDIA4,PDIA4
chr20:36097914-36098975,EPB41L1
chr20:36097914-36098975,chr20:36097914-36098975
chr10:7028256-7028938,AL392086.3
chr10:7028256-7028938,chr10:7028256-7028938
chr4:3342382-3342806,RGS12
chr4:3342382-3342806,chr4:3342382-3342806
chr1:65419341-65422265,LEPR
chr1:65419341-65422265,chr1:65419341-65422265
chr8:22047081-22049955,FGF17
chr8:22047081-22049955,chr8:22047081-22049955
KLRB1,chr12:9604328-9604654
KLRB1,chr12:9607766-9608038
KLRB1,KLRB1
chr16:80540160-80541624,AC105411.1
chr16:80540160-80541624,chr16:80540160-80541624
chr12:62196102-62196588,TAFA2
chr12:62196102-62196588,chr12:62196102-62196588
chr4:70722020-70722827,RUFY3
chr4:70722020-70722827,chr4:70722020-70722827
chr21:29293411-29294019,BACH1
chr21:29293411-29294019,chr21:29293411-29294019
chr1:219120543-219121036,LYPLAL1-DT
chr1:219120543-219121036,chr1:219120543-219121036
chr14:55265108-55265701,AL158801.2
chr14:55265108-55265701,chr14:55265108-55265701
MACROD2,chr20:13995231-13995590
MACROD2,chr20:15310308-15310929
MACROD2,chr20:15317548-15318361
MACROD2,chr20:15319519-15319759
MACROD2,chr20:15654205-15654419
MACROD2,chr20:15807721-15808210
MACROD2,chr20:15875481-15875735
MACROD2,chr20:15923029-15923556
MACROD2,chr20:15937204-15937450
MACROD2,chr20:15985938-15986332
MACROD2,chr20:16040659-16041223
MACROD2,MACROD2
chr4:3402201-3403294,RGS12
chr4:3402201-3403294,chr4:3402201-3403294
MAGI3,chr1:113388739-113392259
MAGI3,chr1:113662993-113663733
MAGI3,chr1:113665080-113665436
MAGI3,chr1:113677890-113678219
MAGI3,MAGI3
chr14:22221617-22221643,AC244502.1
chr14:22221617-22221643,chr14:22221617-22221643
SYTL2,chr11:85694361-85694812
SYTL2,chr11:85699703-85700733
SYTL2,chr11:85737732-85738164
SYTL2,chr11:85740776-85741223
SYTL2,chr11:85742949-85743194
SYTL2,chr11:85745492-85746088
SYTL2,chr11:85749644-85751209
SYTL2,chr11:85752036-85753896
SYTL2,chr11:85755233-85757016
SYTL2,chr11:85774520-85774919
SYTL2,chr11:85781642-85781935
SYTL2,chr11:85808899-85812011
SYTL2,SYTL2
chr13:28411982-28412146,FLT1
chr13:28411982-28412146,chr13:28411982-28412146
HEPACAM2,chr7:93196252-93196867
HEPACAM2,chr7:93228187-93229037
HEPACAM2,HEPACAM2
chr2:217610059-217611367,DIRC3
chr2:217610059-217611367,chr2:217610059-217611367
TMEM156,chr4:38985330-38985820
TMEM156,chr4:38988422-38988691
TMEM156,chr4:39025569-39026159
TMEM156,chr4:39027122-39028379
TMEM156,chr4:39029941-39030972
TMEM156,chr4:39031620-39034111
TMEM156,TMEM156
LINC01189,LINC01189
chr7:18401737-18402183,HDAC9
chr7:18401737-18402183,chr7:18401737-18402183
chr6:119308054-119308467,MAN1A1
chr6:119308054-119308467,chr6:119308054-119308467
chr3:34057154-34057237,LINC01811
chr3:34057154-34057237,chr3:34057154-34057237
chr10:127254271-127254705,DOCK1
chr10:127254271-127254705,chr10:127254271-127254705
chr21:46604748-46606953,S100B
chr21:46604748-46606953,chr21:46604748-46606953
chr5:128340946-128341550,FBN2
chr5:128340946-128341550,chr5:128340946-128341550
GRIK3,GRIK3
chr2:207491957-207492811,AC009226.1
chr2:207491957-207492811,chr2:207491957-207492811
chr15:38707817-38708207,LINC02694
chr15:38707817-38708207,chr15:38707817-38708207
chr5:113293276-113295463,MCC
chr5:113293276-113295463,chr5:113293276-113295463
chr8:134684805-134686241,ZFAT
chr8:134684805-134686241,chr8:134684805-134686241
chr12:11704176-11704468,ETV6
chr12:11704176-11704468,chr12:11704176-11704468
SNED1,chr2:240997280-241000336
SNED1,chr2:241009318-241012631
SNED1,chr2:241033819-241034104
SNED1,chr2:241034814-241038244
SNED1,chr2:241038821-241040166
SNED1,chr2:241041037-241042324
SNED1,chr2:241063374-241064780
SNED1,chr2:241078161-241079036
SNED1,chr2:241081612-241082116
SNED1,chr2:241082910-241083287
SNED1,chr2:241089107-241089678
SNED1,chr2:241095043-241096353
SNED1,SNED1
chr1:235697605-235697836,LYST
chr1:235697605-235697836,chr1:235697605-235697836
chr12:94282457-94283499,PLXNC1
chr12:94282457-94283499,chr12:94282457-94283499
chr4:48211887-48212706,TEC
chr4:48211887-48212706,chr4:48211887-48212706
chr7:26853784-26854130,SKAP2
chr7:26853784-26854130,chr7:26853784-26854130
chr3:69410308-69410743,FRMD4B
chr3:69410308-69410743,chr3:69410308-69410743
NCAM1,chr11:112961104-112963370
NCAM1,chr11:112977740-112978316
NCAM1,chr11:113019667-113020201
NCAM1,chr11:113188019-113189273
NCAM1,chr11:113190210-113190912
NCAM1,chr11:113204167-113204859
NCAM1,chr11:113242654-113243048
NCAM1,NCAM1
chr15:73141240-73141641,NEO1
chr15:73141240-73141641,chr15:73141240-73141641
chr8:130300239-130300451,ASAP1
chr8:130300239-130300451,chr8:130300239-130300451
chr5:107520016-107520353,EFNA5
chr5:107520016-107520353,chr5:107520016-107520353
chr5:107570921-107572474,EFNA5
chr5:107570921-107572474,chr5:107570921-107572474
chr22:28019990-28020406,TTC28
chr22:28019990-28020406,chr22:28019990-28020406
chr7:112103218-112103600,DOCK4
chr7:112103218-112103600,chr7:112103218-112103600
chr1:35806841-35809917,AGO4
chr1:35806841-35809917,chr1:35806841-35809917
chr4:88737357-88738400,FAM13A
chr4:88737357-88738400,chr4:88737357-88738400
chr11:122799338-122799654,UBASH3B
chr11:122799338-122799654,chr11:122799338-122799654
S100A9,chr1:153355404-153355935
S100A9,chr1:153356992-153358647
S100A9,chr1:153360151-153362229
S100A9,S100A9
chr1:76269162-76269574,ST6GALNAC3
chr1:76269162-76269574,chr1:76269162-76269574
IDO1,chr8:39912669-39914106
IDO1,IDO1
OXTR,chr3:8769336-8769648
OXTR,OXTR
chr7:80172369-80172850,GNAI1
chr7:80172369-80172850,chr7:80172369-80172850
chr3:48307032-48307271,SPINK8
chr3:48307032-48307271,chr3:48307032-48307271
chr4:139742440-139742714,MAML3
chr4:139742440-139742714,chr4:139742440-139742714
chr4:156954509-156954989,PDGFC
chr4:156954509-156954989,chr4:156954509-156954989
chr3:167866250-167866997,AC026353.1
chr3:167866250-167866997,chr3:167866250-167866997
chr5:133259216-133259657,FSTL4
chr5:133259216-133259657,chr5:133259216-133259657
chr21:33069700-33072406,AP000282.1
chr21:33069700-33072406,chr21:33069700-33072406
chr2:85290966-85292004,TCF7L1
chr2:85290966-85292004,chr2:85290966-85292004
LUCAT1,chr5:91059431-91059810
LUCAT1,chr5:91101744-91102222
LUCAT1,chr5:91103812-91103939
LUCAT1,chr5:91111875-91112216
LUCAT1,chr5:91146216-91147356
LUCAT1,chr5:91162021-91163515
LUCAT1,chr5:91169962-91170879
LUCAT1,chr5:91182394-91184108
LUCAT1,chr5:91187384-91187832
LUCAT1,chr5:91189648-91190585
LUCAT1,chr5:91212252-91212623
LUCAT1,chr5:91218893-91220130
LUCAT1,chr5:91226014-91226545
LUCAT1,chr5:91228221-91228618
LUCAT1,chr5:91231045-91231662
LUCAT1,chr5:91266310-91266711
LUCAT1,chr5:91279370-91281621
LUCAT1,chr5:91283823-91284288
LUCAT1,chr5:91301004-91302174
LUCAT1,chr5:91308278-91308538
LUCAT1,chr5:91311053-91316215
LUCAT1,LUCAT1
chr3:189630929-189631229,TP63
chr3:189630929-189631229,chr3:189630929-189631229
chr16:10521668-10522101,LINC01290
chr16:10521668-10522101,chr16:10521668-10522101
chr2:215754645-215754830,LINC00607
chr2:215754645-215754830,chr2:215754645-215754830
chr1:36481703-36483527,CSF3R
chr1:36481703-36483527,chr1:36481703-36483527
chr1:168410306-168410899,AL023755.1
chr1:168410306-168410899,chr1:168410306-168410899
AOC1,chr7:150852238-150852542
AOC1,AOC1
CPVL,chr7:29035374-29035743
CPVL,chr7:29084710-29085320
CPVL,chr7:29087484-29087487
CPVL,chr7:29088181-29088577
CPVL,chr7:29091093-29092119
CPVL,chr7:29102504-29103188
CPVL,chr7:29106322-29106828
CPVL,chr7:29109858-29110512
CPVL,chr7:29113545-29114340
CPVL,chr7:29130069-29130528
CPVL,chr7:29135610-29136317
CPVL,chr7:29139765-29140195
CPVL,chr7:29140821-29141343
CPVL,chr7:29142211-29143154
CPVL,chr7:29145926-29147653
CPVL,chr7:29148949-29149445
CPVL,chr7:29156881-29157205
CPVL,chr7:29177970-29178735
CPVL,chr7:29189678-29190154
CPVL,chr7:29193848-29197534
CPVL,CPVL
HBQ1,chr16:180045-182201
HBQ1,HBQ1
chr8:95268037-95270636,C8orf37-AS1
chr8:95268037-95270636,chr8:95268037-95270636
chr5:59098942-59100090,PDE4D
chr5:59098942-59100090,chr5:59098942-59100090
chr3:160986144-160986481,PPM1L
chr3:160986144-160986481,chr3:160986144-160986481
chr6:116531937-116532410,TRAPPC3L
chr6:116531937-116532410,chr6:116531937-116532410
chr13:42990138-42993730,EPSTI1
chr13:42990138-42993730,chr13:42990138-42993730
chr3:67941393-67941856,SUCLG2-AS1
chr3:67941393-67941856,chr3:67941393-67941856
chr6:17910157-17910658,KIF13A
chr6:17910157-17910658,chr6:17910157-17910658
chr14:92491925-92493447,SLC24A4
chr14:92491925-92493447,chr14:92491925-92493447
chr4:151105384-151106169,SH3D19
chr4:151105384-151106169,chr4:151105384-151106169
chr4:172758830-172759365,GALNTL6
chr4:172758830-172759365,chr4:172758830-172759365
chr11:105000748-105001241,CASP5
chr11:105000748-105001241,chr11:105000748-105001241
chr7:90708771-90710286,CDK14
chr7:90708771-90710286,chr7:90708771-90710286
chr10:95821525-95822255,ENTPD1
chr10:95821525-95822255,chr10:95821525-95822255
chr7:132520838-132520983,PLXNA4
chr7:132520838-132520983,chr7:132520838-132520983
chr8:19575915-19576293,CSGALNACT1
chr8:19575915-19576293,chr8:19575915-19576293
chr4:156939701-156940254,PDGFC
chr4:156939701-156940254,chr4:156939701-156940254
chr12:8860514-8860832,AC006581.2
chr12:8860514-8860832,chr12:8860514-8860832
chr13:40477411-40478512,LINC00598
chr13:40477411-40478512,chr13:40477411-40478512
E2F1,chr20:33676367-33677134
E2F1,chr20:33678353-33680475
E2F1,chr20:33684606-33687850
E2F1,E2F1
chr12:92360230-92361218,LINC02391
chr12:92360230-92361218,chr12:92360230-92361218
chr12:128914765-128915442,GLT1D1
chr12:128914765-128915442,chr12:128914765-128915442
chr13:110538584-110539049,RAB20
chr13:110538584-110539049,chr13:110538584-110539049
chr17:74623312-74624416,CD300E
chr17:74623312-74624416,chr17:74623312-74624416
chr6:6284155-6284706,F13A1
chr6:6284155-6284706,chr6:6284155-6284706
chr5:96613963-96614822,AC104123.1
chr5:96613963-96614822,chr5:96613963-96614822
chr8:19665253-19666042,CSGALNACT1
chr8:19665253-19666042,chr8:19665253-19666042
chr13:31968389-31968921,FRY
chr13:31968389-31968921,chr13:31968389-31968921
chr4:81553053-81553360,RASGEF1B
chr4:81553053-81553360,chr4:81553053-81553360
chr16:17258738-17259866,XYLT1
chr16:17258738-17259866,chr16:17258738-17259866
chr13:28059133-28059323,FLT3
chr13:28059133-28059323,chr13:28059133-28059323
chr10:48683722-48686105,WDFY4
chr10:48683722-48686105,chr10:48683722-48686105
